student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,attendance_level,study_efficiency
1,17,1,6,2.78,92.9,1,7.4,2,0,1,1,58.9,High,0.3756756756756756
2,23,2,5,3.37,64.8,1,4.6,0,3,2,2,54.8,Medium,0.732608695652174
3,22,1,1,7.88,76.8,1,8.5,2,0,0,2,90.3,Medium,0.9270588235294117
4,20,2,6,0.67,48.4,1,5.8,0,3,1,2,29.7,Low,0.11551724137931035
5,20,0,6,0.89,71.6,1,9.8,2,0,1,2,43.7,Medium,0.09081632653061224
6,23,1,2,3.48,65.4,1,4.2,1,2,1,2,58.2,Medium,0.8285714285714285
7,17,0,2,1.35,69.0,1,7.4,0,3,0,1,53.7,Medium,0.18243243243243243
8,22,1,1,5.48,51.1,1,8.2,2,4,1,2,47.3,Low,0.6682926829268294
9,18,2,5,2.89,92.0,1,6.6,2,4,1,0,44.9,High,0.4378787878787879
10,17,1,4,6.77,44.8,1,9.8,0,1,0,2,77.7,Low,0.6908163265306122
11,21,0,3,5.99,86.9,1,5.8,0,4,2,0,63.2,High,1.0327586206896553
12,24,1,0,3.77,96.6,0,4.1,2,3,2,0,53.5,High,0.9195121951219513
13,22,0,3,6.76,46.4,1,8.1,1,4,2,1,63.9,Low,0.8345679012345679
14,23,0,4,0.81,66.0,1,7.1,2,3,2,2,34.1,Medium,0.11408450704225354
15,22,1,2,4.65,75.1,1,7.7,1,1,0,2,83.5,Medium,0.6038961038961039
16,23,2,4,4.84,99.4,1,7.3,0,0,0,2,98.5,High,0.663013698630137
17,21,1,1,1.97,91.9,1,8.3,0,4,2,2,70.3,High,0.23734939759036142
18,18,1,5,0.4,64.9,1,6.8,2,4,2,2,32.3,Medium,0.05882352941176471
19,23,0,1,4.28,98.1,1,4.4,0,2,1,2,56.2,High,0.9727272727272727
20,20,1,2,4.11,59.9,1,4.3,2,0,0,2,49.3,Low,0.9558139534883722
21,21,0,3,5.23,60.4,1,4.2,2,0,2,0,68.1,Medium,1.2452380952380953
22,19,2,3,1.7,70.4,1,9.8,1,2,1,0,52.1,Medium,0.173469387755102
23,18,1,3,1.44,86.8,1,9.7,0,1,2,0,47.1,High,0.14845360824742268
24,24,0,6,7.82,51.5,1,6.3,1,4,1,0,84.8,Low,1.2412698412698413
25,23,1,4,0.91,84.5,1,8.0,0,0,1,2,68.9,High,0.11375
26,22,1,0,7.91,40.6,1,4.3,1,1,1,2,76.3,Low,1.8395348837209304
27,20,1,5,5.76,55.7,0,8.2,0,4,1,0,71.6,Low,0.702439024390244
28,23,1,3,5.03,98.5,1,6.7,2,2,0,1,74.1,High,0.7507462686567165
29,21,0,1,2.72,79.4,1,7.0,1,3,2,2,56.6,Medium,0.3885714285714286
30,20,2,2,6.94,67.8,1,4.6,1,1,2,2,49.2,Medium,1.5086956521739132
31,20,2,2,7.28,83.9,1,6.3,2,2,0,0,97.5,High,1.1555555555555557
32,18,1,1,5.78,66.1,1,5.1,1,4,0,0,81.8,Medium,1.1333333333333335
33,17,2,5,5.68,46.4,1,4.1,1,4,0,2,65.6,Low,1.3853658536585367
34,21,0,3,3.95,69.9,0,6.5,2,3,0,1,71.1,Medium,0.6076923076923078
35,24,0,3,0.62,97.3,1,4.6,1,1,0,0,60.3,High,0.13478260869565217
36,17,2,0,7.91,56.4,1,5.1,0,3,0,2,81.3,Low,1.5509803921568628
37,23,0,1,0.12,43.2,0,5.8,0,3,2,1,37.3,Low,0.020689655172413793
38,23,1,5,3.96,84.5,1,6.7,2,1,1,1,52.0,High,0.591044776119403
39,19,0,2,2.94,67.3,1,5.4,0,0,0,0,58.9,Medium,0.5444444444444444
40,22,2,4,6.21,60.1,1,9.7,0,3,1,0,65.8,Medium,0.6402061855670104
41,18,2,6,5.89,69.3,1,9.5,0,2,2,2,67.6,Medium,0.62
42,23,1,6,5.02,95.8,1,5.5,2,0,0,1,99.3,High,0.9127272727272726
43,22,2,0,0.6,55.0,1,6.7,1,3,0,0,33.6,Low,0.08955223880597014
44,19,1,5,1.89,52.0,1,7.6,2,1,2,2,35.5,Low,0.24868421052631579
45,17,2,1,0.75,72.0,1,5.1,0,1,2,2,42.8,Medium,0.14705882352941177
46,24,1,1,7.83,67.8,1,7.8,1,0,0,0,100.0,Medium,1.0038461538461538
47,20,1,0,1.02,49.0,1,6.5,1,1,0,0,50.4,Low,0.15692307692307692
48,24,2,2,7.74,74.8,1,4.2,1,3,0,2,74.0,Medium,1.8428571428571427
49,22,0,1,0.9,74.5,1,5.5,2,2,0,2,30.9,Medium,0.16363636363636364
50,23,1,5,6.9,76.3,1,5.1,2,2,1,2,75.9,Medium,1.3529411764705883
51,23,1,5,4.6,64.8,1,8.9,2,2,1,0,75.3,Medium,0.5168539325842696
52,18,1,0,6.65,57.4,1,7.0,1,1,1,1,88.7,Low,0.9500000000000001
53,19,1,0,5.07,59.7,1,5.1,1,1,1,2,73.6,Low,0.9941176470588237
54,20,2,0,6.15,90.1,1,7.4,2,4,0,2,76.8,High,0.8310810810810811
55,20,1,2,5.85,77.5,0,6.6,0,3,1,2,64.9,Medium,0.8863636363636364
56,17,1,1,2.08,63.9,1,6.6,1,2,0,0,47.2,Medium,0.3151515151515152
57,21,2,6,7.48,76.8,1,5.2,2,1,1,1,78.1,Medium,1.4384615384615385
58,18,2,4,5.15,61.0,1,7.8,0,2,2,2,77.8,Medium,0.6602564102564104
59,22,1,4,1.62,91.8,0,8.9,0,2,0,2,66.9,High,0.18202247191011237
60,22,0,1,2.45,83.7,0,6.9,1,4,2,2,70.5,High,0.35507246376811596
61,24,0,5,4.26,46.1,1,4.9,0,3,2,2,57.2,Low,0.8693877551020407
62,22,0,1,7.05,43.4,1,5.6,0,2,2,2,75.5,Low,1.2589285714285714
63,19,1,6,6.37,42.0,1,5.9,1,4,1,0,62.8,Low,1.0796610169491525
64,24,2,3,2.42,41.7,1,9.3,0,3,0,2,31.7,Low,0.26021505376344084
65,20,2,0,5.51,69.8,1,7.7,1,4,1,1,70.3,Medium,0.7155844155844155
66,19,2,5,0.08,50.9,1,9.6,2,2,1,2,19.599,Low,0.008333333333333333
67,24,2,0,2.66,80.5,1,5.9,0,2,1,2,54.0,High,0.45084745762711864
68,19,1,1,6.72,69.0,1,9.2,1,4,0,2,61.0,Medium,0.7304347826086957
69,17,0,4,1.21,45.6,1,8.8,0,3,2,2,35.1,Low,0.13749999999999998
70,20,2,5,2.83,40.6,1,9.7,1,2,1,0,57.5,Low,0.29175257731958765
71,23,0,4,0.08,42.2,0,5.5,1,0,0,0,26.4,Low,0.014545454545454545
72,18,2,3,0.19,72.0,1,9.7,2,4,0,2,45.3,Medium,0.019587628865979385
73,20,0,0,1.17,75.2,0,8.0,1,3,0,0,46.9,Medium,0.14625
74,18,2,0,0.81,61.2,1,8.4,2,4,2,1,37.1,Medium,0.09642857142857143
75,22,2,6,3.92,44.7,1,5.1,0,2,0,2,54.0,Low,0.7686274509803922
76,20,0,0,7.2,96.1,1,5.3,2,2,1,2,78.8,High,1.358490566037736
77,19,2,6,0.68,64.3,1,9.9,2,2,1,2,49.9,Medium,0.06868686868686869
78,18,0,1,6.96,65.8,1,8.7,2,3,1,1,76.9,Medium,0.8
79,21,1,1,5.35,62.9,1,9.3,0,3,0,2,54.4,Medium,0.575268817204301
80,22,0,0,1.35,43.6,1,5.6,2,0,2,2,28.3,Low,0.2410714285714286
81,24,2,2,2.32,82.6,1,7.0,1,4,2,2,53.1,High,0.3314285714285714
82,20,1,6,1.55,79.9,1,7.2,1,2,0,2,75.6,Medium,0.2152777777777778
83,18,1,0,6.31,49.9,0,5.6,0,1,1,1,57.5,Low,1.1267857142857143
84,23,0,2,5.8,56.1,1,4.9,0,2,0,2,59.8,Low,1.183673469387755
85,22,0,4,2.44,72.8,1,5.1,1,1,2,0,51.3,Medium,0.47843137254901963
86,22,0,6,0.43,62.6,1,5.9,0,4,1,2,23.9,Medium,0.07288135593220338
87,17,0,6,1.35,99.4,1,6.5,2,1,0,2,48.1,High,0.2076923076923077
88,19,0,2,5.04,69.8,1,4.1,0,4,0,0,65.3,Medium,1.229268292682927
89,23,1,5,0.72,92.9,1,6.9,1,3,1,2,56.6,High,0.10434782608695652
90,23,1,0,4.29,52.3,1,7.2,1,0,0,0,79.5,Low,0.5958333333333333
91,20,2,5,4.9,73.4,1,6.9,2,4,0,0,79.9,Medium,0.7101449275362319
92,23,0,4,5.5,59.3,0,7.6,0,4,1,1,65.8,Low,0.7236842105263158
93,23,2,5,1.0,96.1,1,4.5,1,4,0,2,61.1,High,0.2222222222222222
94,20,0,5,3.68,73.1,1,9.3,1,3,1,0,65.8,Medium,0.3956989247311828
95,24,1,6,3.71,79.2,0,5.4,0,3,1,0,49.0,Medium,0.687037037037037
96,19,0,1,6.68,44.6,1,6.6,0,1,0,2,66.3,Low,1.0121212121212122
97,18,2,5,3.75,69.3,1,9.1,1,2,0,2,63.9,Medium,0.4120879120879121
98,22,2,2,3.25,74.8,1,8.3,2,0,0,0,49.5,Medium,0.39156626506024095
99,22,1,6,0.99,57.4,1,8.3,2,3,2,2,40.0,Low,0.11927710843373493
100,18,2,4,5.56,84.1,1,8.8,2,2,2,0,78.7,High,0.6318181818181817
101,23,0,1,4.96,68.0,1,9.8,1,4,2,0,61.4,Medium,0.5061224489795918
102,18,1,0,5.74,73.7,0,4.2,2,3,0,2,69.6,Medium,1.3666666666666667
103,23,0,6,5.25,61.7,1,9.9,2,0,1,2,71.9,Medium,0.5303030303030303
104,17,1,4,7.0,80.6,1,9.6,2,1,2,2,88.5,High,0.7291666666666667
105,23,1,1,7.02,46.2,1,4.9,1,3,1,2,63.8,Low,1.4326530612244897
106,23,2,5,2.46,70.4,1,5.8,2,2,1,1,37.1,Medium,0.4241379310344828
107,23,2,5,1.46,93.7,1,8.0,2,2,0,1,51.1,High,0.1825
108,22,0,2,7.41,54.1,1,9.3,0,0,1,1,91.3,Low,0.7967741935483871
109,20,2,1,5.7,92.1,1,7.3,2,0,0,2,95.2,High,0.7808219178082192
110,22,2,5,7.77,93.1,1,7.1,2,1,1,0,74.3,High,1.0943661971830987
111,19,0,0,3.98,53.8,0,4.7,1,2,0,0,64.0,Low,0.8468085106382979
112,23,1,2,7.7,44.8,1,8.3,0,2,0,2,79.6,Low,0.927710843373494
113,21,0,4,0.98,85.9,1,7.0,1,0,1,0,51.8,High,0.13999999999999999
114,20,1,6,4.72,97.5,1,4.6,1,4,1,2,74.4,High,1.0260869565217392
115,21,2,3,3.97,55.3,1,9.5,1,1,0,0,69.9,Low,0.41789473684210526
116,21,0,6,0.08,94.8,1,5.4,2,0,0,2,26.5,High,0.014814814814814814
117,17,2,2,1.54,52.5,1,7.2,0,2,2,2,45.5,Low,0.21388888888888888
118,18,2,4,1.23,61.6,1,9.0,2,2,2,0,57.0,Medium,0.13666666666666666
119,18,0,4,0.49,93.2,1,8.0,1,4,2,0,52.8,High,0.06125
120,17,2,6,7.59,58.2,1,5.4,0,2,2,2,93.1,Low,1.4055555555555554
121,20,2,3,7.72,85.3,1,9.9,1,1,2,2,100.0,High,0.7797979797979797
122,22,2,5,7.13,48.8,1,4.6,2,4,2,2,81.6,Low,1.55
123,22,1,1,7.91,62.7,1,8.8,2,2,0,2,100.0,Medium,0.8988636363636363
124,20,0,2,6.65,96.4,1,6.8,0,2,1,2,100.0,High,0.9779411764705883
125,23,2,5,7.46,53.6,1,4.4,2,2,2,2,76.9,Low,1.6954545454545453
126,21,2,2,1.58,82.1,1,5.5,1,1,1,1,51.9,High,0.2872727272727273
127,17,0,6,2.06,95.2,1,4.5,1,0,1,2,51.0,High,0.4577777777777778
128,23,1,2,6.9,87.1,1,5.2,0,3,0,1,71.1,High,1.3269230769230769
129,21,1,4,3.84,96.9,1,9.3,1,3,1,2,86.9,High,0.41290322580645156
130,22,0,3,5.74,96.6,1,5.8,2,4,0,2,67.4,High,0.9896551724137932
131,21,0,4,4.5,46.8,1,7.7,1,2,1,2,76.3,Low,0.5844155844155844
132,21,2,4,2.45,76.1,1,5.2,2,4,0,0,40.7,Medium,0.47115384615384615
133,17,1,3,2.28,65.6,1,5.5,2,4,2,2,19.599,Medium,0.4145454545454545
134,21,0,3,5.99,81.0,1,6.1,1,1,2,1,71.9,High,0.9819672131147542
135,23,1,3,4.26,84.6,1,9.7,0,3,2,2,56.6,High,0.43917525773195876
136,19,2,4,2.88,54.7,1,5.3,0,0,1,2,64.9,Low,0.5433962264150943
137,21,1,4,4.94,88.0,1,7.9,2,2,1,0,65.6,High,0.6253164556962025
138,17,1,3,3.36,64.6,0,6.2,2,2,2,2,49.0,Medium,0.5419354838709677
139,19,1,0,3.8,79.4,1,4.9,1,4,1,0,53.7,Medium,0.7755102040816325
140,20,1,2,5.42,65.7,1,7.3,1,2,1,2,72.2,Medium,0.7424657534246576
141,24,0,5,3.66,60.8,0,6.2,1,3,0,0,65.4,Medium,0.5903225806451613
142,18,0,1,7.6,81.6,1,9.2,1,4,1,2,83.3,High,0.8260869565217391
143,19,0,3,3.88,72.5,0,9.6,2,4,2,0,41.8,Medium,0.4041666666666667
144,20,2,6,7.69,91.2,1,7.4,0,4,1,1,69.4,High,1.0391891891891891
145,24,0,5,6.78,87.2,1,5.8,0,3,0,2,75.4,High,1.1689655172413793
146,23,1,0,7.13,92.1,1,7.2,2,2,1,1,66.9,High,0.9902777777777777
147,17,0,3,6.11,85.9,0,9.3,1,1,0,0,100.0,High,0.656989247311828
148,18,2,0,4.84,95.0,1,8.0,0,3,2,0,70.7,High,0.605
149,23,0,4,4.26,49.4,1,4.5,0,1,2,0,34.3,Low,0.9466666666666667
150,17,1,1,4.41,78.4,1,4.4,1,0,0,1,83.7,Medium,1.0022727272727272
151,23,2,6,1.61,44.9,1,4.9,2,2,0,0,29.2,Low,0.32857142857142857
152,19,2,6,1.72,70.0,1,7.4,1,4,2,0,60.9,Medium,0.23243243243243242
153,24,1,0,0.27,91.7,1,5.0,0,1,2,2,36.3,High,0.054000000000000006
154,19,0,1,5.96,83.5,1,5.5,0,4,2,2,69.1,High,1.0836363636363637
155,20,0,3,1.0,75.0,1,7.2,0,1,1,2,63.5,Medium,0.1388888888888889
156,22,1,4,4.66,81.6,1,7.4,0,0,0,0,82.6,High,0.6297297297297297
157,18,1,4,1.1,50.4,1,8.9,0,3,2,1,38.8,Low,0.12359550561797754
158,21,2,2,0.53,95.8,0,6.6,0,2,0,0,56.9,High,0.0803030303030303
159,21,0,4,4.27,52.7,1,8.7,2,4,2,2,45.7,Low,0.4908045977011494
160,23,2,2,6.98,50.0,1,4.5,0,3,0,2,92.0,Low,1.551111111111111
161,24,0,0,2.85,48.4,1,7.3,2,2,1,2,32.1,Low,0.3904109589041096
162,22,0,5,7.35,96.2,1,6.6,0,0,2,1,100.0,High,1.1136363636363635
163,20,2,6,0.08,67.7,1,9.5,1,3,2,0,40.8,Medium,0.008421052631578947
164,20,1,4,3.73,72.0,1,8.3,1,2,0,1,69.5,Medium,0.4493975903614457
165,20,0,1,1.17,62.7,1,8.1,2,2,0,2,39.0,Medium,0.14444444444444443
166,23,1,4,2.53,41.6,0,9.4,0,4,2,0,23.5,Low,0.26914893617021274
167,19,1,2,0.19,44.0,1,5.5,2,3,1,0,19.599,Low,0.034545454545454546
168,18,2,1,0.28,40.9,0,8.5,1,4,0,0,46.0,Low,0.03294117647058824
169,19,1,2,5.7,72.3,1,9.2,2,4,2,2,67.9,Medium,0.6195652173913044
170,17,0,6,5.24,51.6,1,9.9,2,1,0,2,54.0,Low,0.5292929292929293
171,17,0,0,1.67,64.1,1,6.6,1,4,2,2,53.5,Medium,0.25303030303030305
172,17,2,3,7.21,67.6,1,8.0,0,4,2,0,77.8,Medium,0.90125
173,23,0,5,5.5,72.0,1,5.1,2,0,2,2,68.1,Medium,1.0784313725490198
174,22,2,6,2.69,93.6,0,7.4,2,0,2,2,49.0,High,0.36351351351351346
175,22,2,6,3.26,42.6,1,6.7,0,0,0,2,52.2,Low,0.48656716417910445
176,20,2,1,2.34,69.7,1,4.8,1,1,0,2,55.4,Medium,0.4875
177,22,2,0,6.64,47.9,1,9.5,2,3,0,0,69.4,Low,0.6989473684210527
178,18,1,0,3.95,95.6,1,9.4,1,4,1,2,80.7,High,0.42021276595744683
179,24,1,5,1.08,95.0,1,9.8,2,1,2,2,32.0,High,0.11020408163265306
180,21,0,0,1.61,48.4,1,5.1,1,4,0,2,34.3,Low,0.31568627450980397
181,24,0,1,2.37,47.0,1,4.1,0,1,2,2,35.4,Low,0.578048780487805
182,18,2,5,3.23,46.6,1,8.5,1,4,2,0,57.8,Low,0.38
183,20,2,3,4.74,45.9,1,5.6,0,3,1,0,50.4,Low,0.8464285714285715
184,22,1,5,7.71,49.5,1,7.8,0,0,0,2,87.2,Low,0.9884615384615385
185,20,1,0,2.1,49.3,1,7.2,0,0,1,1,56.6,Low,0.2916666666666667
186,20,1,3,2.63,49.8,1,7.5,1,3,0,2,91.6,Low,0.3506666666666666
187,18,0,2,0.19,48.9,1,7.0,2,1,2,0,23.7,Low,0.027142857142857142
188,20,0,2,2.98,62.7,1,4.1,0,4,1,1,56.5,Medium,0.726829268292683
189,18,1,2,5.4,55.2,1,5.6,0,1,1,0,76.1,Low,0.9642857142857144
190,19,2,1,7.7,65.0,1,9.5,2,3,2,0,73.1,Medium,0.8105263157894737
191,22,1,0,5.92,93.6,1,6.5,2,4,2,2,74.8,High,0.9107692307692308
192,22,0,2,0.94,61.1,1,5.9,1,4,2,0,21.4,Medium,0.15932203389830507
193,21,2,1,7.12,57.2,1,4.1,2,2,0,2,69.5,Low,1.7365853658536587
194,19,1,5,6.71,94.9,1,6.2,2,0,1,0,90.0,High,1.082258064516129
195,24,2,5,1.51,59.3,1,5.3,1,2,2,0,44.3,Low,0.2849056603773585
196,17,2,0,7.47,47.3,1,7.1,2,1,1,2,66.6,Low,1.052112676056338
197,19,2,6,5.71,77.1,1,8.2,0,3,0,0,83.5,Medium,0.6963414634146342
198,17,1,2,6.26,56.9,0,4.4,0,4,0,0,70.9,Low,1.4227272727272726
199,19,0,2,3.67,71.2,1,8.3,1,2,1,0,67.9,Medium,0.4421686746987951
200,24,1,0,1.61,86.1,1,4.1,2,3,2,1,44.7,High,0.39268292682926836
201,19,0,1,6.39,73.9,1,8.1,2,2,0,2,84.0,Medium,0.7888888888888889
202,24,2,2,3.82,88.5,1,4.9,0,0,2,0,73.0,High,0.7795918367346938
203,20,2,5,7.74,60.7,0,6.1,2,4,2,2,65.0,Medium,1.2688524590163937
204,22,2,6,1.23,50.1,1,4.7,1,0,1,2,31.4,Low,0.26170212765957446
205,20,0,1,2.84,63.7,1,7.3,0,1,1,2,48.5,Medium,0.38904109589041097
206,19,2,0,5.88,64.7,1,8.8,0,0,0,2,78.6,Medium,0.6681818181818181
207,23,2,5,4.58,83.0,1,7.4,0,2,0,2,90.9,High,0.6189189189189189
208,24,2,6,3.47,81.2,0,9.4,2,1,1,2,39.6,High,0.36914893617021277
209,19,2,0,5.61,58.6,1,4.2,1,0,1,0,66.5,Low,1.3357142857142856
210,23,0,4,5.87,95.8,1,6.1,0,1,1,1,83.1,High,0.9622950819672131
211,19,1,2,4.62,56.5,1,6.3,0,3,1,2,40.2,Low,0.7333333333333334
212,22,1,3,2.55,99.4,1,5.9,0,0,1,0,57.6,High,0.43220338983050843
213,23,2,6,4.95,42.0,1,6.5,0,3,2,2,51.5,Low,0.7615384615384616
214,20,1,3,4.36,80.4,0,7.4,1,4,0,0,92.2,High,0.5891891891891892
215,22,1,4,6.38,77.2,1,5.2,2,2,0,2,72.7,Medium,1.2269230769230768
216,19,2,4,5.23,75.1,1,5.2,2,2,2,2,69.9,Medium,1.0057692307692307
